late_payments,support_calls,satisfaction_score,tenure_months,contract_type,payment_method,region,churn
1.0,2.0,5.0,42,month_to_month,wallet,asia,0
0.0,4.0,3.0,23,two_year,card,europe,0
0.0,3.0,7.0,64,month_to_month,bank,latam,0
0.0,5.0,9.0,38,month_to_month,card,north_america,1
1.0,2.0,4.0,57,one_year,card,asia,0
0.0,4.0,8.0,4,month_to_month,card,asia,1
1.0,2.0,10.0,26,month_to_month,card,north_america,0
1.0,1.0,9.0,58,month_to_month,card,south_america,0
0.0,4.0,3.0,19,month_to_month,card,europe,1
4.0,2.0,5.0,3,month_to_month,card,north_america,1
2.0,1.0,1.0,58,one_year,card,europe,0
2.0,1.0,10.0,52,month_to_month,bank,europe,0
1.0,3.0,1.0,70,month_to_month,wallet,asia,1
1.0,6.0,10.0,56,one_year,card,north_america,0
0.0,6.0,3.0,59,one_year,bank,asia,0
0.0,2.0,10.0,33,one_year,card,europe,0
2.0,2.0,2.0,45,one_year,wallet,asia,0
5.0,2.0,1.0,54,month_to_month,bank,europe,0
2.0,5.0,8.0,44,one_year,wallet,europe,0
1.0,0.0,9.0,12,one_year,card,asia,0
0.0,1.0,7.0,18,month_to_month,card,europe,0
0.0,2.0,8.0,40,month_to_month,card,latam,0
1.0,1.0,9.0,27,one_year,card,north_america,0
0.0,2.0,8.0,22,one_year,card,europe,0
2.0,0.0,2.0,69,month_to_month,bank,asia,1
0.0,3.0,3.0,16,month_to_month,card,south_america,1
2.0,2.0,2.0,17,month_to_month,wallet,africa,1
0.0,2.0,6.0,55,one_year,card,europe,0
1.0,3.0,8.0,53,one_year,wallet,asia,0
1.0,4.0,5.0,64,month_to_month,card,asia,1
1.0,2.0,7.0,45,two_year,card,asia,0
1.0,1.0,1.0,61,one_year,bank,asia,0
0.0,6.0,5.0,51,one_year,card,north_america,0
1.0,1.0,9.0,4,one_year,card,asia,0
1.0,3.0,4.0,66,month_to_month,bank,asia,0
2.0,3.0,3.0,52,month_to_month,bank,africa,0
0.0,2.0,4.0,14,month_to_month,bank,north_america,1
0.0,2.0,7.0,66,month_to_month,card,europe,0
1.0,0.0,3.0,17,month_to_month,bank,africa,1
2.0,1.0,7.0,3,month_to_month,bank,latam,1
0.0,0.0,7.0,44,month_to_month,card,north_america,0
0.0,6.0,4.0,51,month_to_month,bank,asia,1
1.0,0.0,9.0,19,one_year,card,north_america,0
2.0,2.0,10.0,30,month_to_month,card,africa,1
0.0,2.0,6.0,36,month_to_month,card,asia,0
0.0,1.0,5.0,7,one_year,card,asia,0
0.0,1.0,2.0,1,month_to_month,bank,europe,1
0.0,1.0,2.0,41,two_year,wallet,north_america,0
1.0,2.0,3.0,29,one_year,wallet,europe,0
1.0,0.0,6.0,60,one_year,wallet,europe,0
0.0,2.0,9.0,19,month_to_month,card,north_america,0
5.0,3.0,5.0,46,month_to_month,card,europe,0
1.0,1.0,1.0,42,month_to_month,bank,north_america,0
1.0,0.0,5.0,40,one_year,bank,africa,0
2.0,4.0,7.0,12,two_year,card,north_america,0
0.0,4.0,10.0,15,two_year,wallet,north_america,0
0.0,3.0,9.0,49,month_to_month,card,asia,0
5.0,2.0,5.0,26,one_year,card,asia,0
0.0,2.0,7.0,25,one_year,bank,europe,0
0.0,1.0,2.0,46,month_to_month,card,south_america,1
1.0,3.0,3.0,68,two_year,bank,europe,0
0.0,3.0,7.0,24,one_year,bank,europe,0
3.0,6.0,3.0,65,one_year,card,asia,1
1.0,6.0,7.0,57,two_year,bank,north_america,0
3.0,2.0,9.0,18,month_to_month,wallet,south_america,1
0.0,0.0,6.0,51,one_year,card,asia,0
1.0,0.0,6.0,11,month_to_month,card,europe,1
1.0,6.0,9.0,36,month_to_month,wallet,europe,0
1.0,2.0,4.0,31,month_to_month,card,latam,0
1.0,0.0,10.0,52,two_year,card,europe,0
1.0,0.0,6.0,17,month_to_month,wallet,africa,0
1.0,3.0,2.0,55,month_to_month,bank,asia,1
2.0,2.0,6.0,37,two_year,card,europe,0
1.0,2.0,9.0,30,two_year,wallet,europe,0
1.0,0.0,2.0,14,month_to_month,card,north_america,0
2.0,2.0,9.0,37,month_to_month,bank,europe,0
0.0,3.0,9.0,43,month_to_month,card,africa,1
1.0,3.0,5.0,61,month_to_month,card,asia,1
0.0,3.0,1.0,29,month_to_month,bank,africa,0
0.0,1.0,1.0,61,month_to_month,card,north_america,1
2.0,1.0,4.0,12,month_to_month,bank,europe,1
2.0,3.0,9.0,71,one_year,wallet,south_america,0
2.0,3.0,6.0,70,month_to_month,wallet,north_america,0
0.0,3.0,8.0,29,one_year,wallet,asia,0
0.0,1.0,8.0,48,month_to_month,bank,europe,0
0.0,1.0,2.0,23,two_year,bank,north_america,0
1.0,0.0,10.0,32,month_to_month,wallet,europe,0
0.0,1.0,10.0,44,month_to_month,card,north_america,0
1.0,3.0,7.0,51,two_year,wallet,north_america,0
0.0,2.0,7.0,5,month_to_month,bank,africa,0
3.0,0.0,8.0,22,one_year,wallet,europe,0
1.0,1.0,6.0,9,two_year,card,africa,0
1.0,1.0,7.0,67,one_year,card,asia,0
5.0,2.0,9.0,66,two_year,card,asia,0
3.0,0.0,2.0,22,one_year,bank,africa,1
1.0,1.0,7.0,64,month_to_month,bank,south_america,0
0.0,3.0,5.0,43,two_year,card,europe,0
1.0,2.0,1.0,47,one_year,wallet,south_america,0
1.0,1.0,4.0,26,two_year,bank,north_america,0
0.0,3.0,4.0,27,month_to_month,bank,asia,0
1.0,1.0,6.0,11,month_to_month,bank,north_america,1
1.0,3.0,10.0,65,one_year,wallet,north_america,0
1.0,2.0,3.0,34,month_to_month,bank,north_america,0
0.0,1.0,10.0,1,month_to_month,bank,north_america,1
0.0,1.0,3.0,26,month_to_month,bank,africa,1
0.0,6.0,8.0,27,month_to_month,card,asia,0
3.0,1.0,2.0,45,month_to_month,card,europe,1
0.0,2.0,8.0,71,one_year,wallet,north_america,0
0.0,2.0,9.0,20,month_to_month,card,africa,0
